stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,css
1484895964,2020-01-02T13:58:42Z,2020 laws that give us hope for the year ahead,http://feeds.mashable.com/~r/Mashable/~3/cTkTuzWn3C8/,en,FALSE,NA,5527,Mashable!,http://mashable.com,p
1486077544,2020-01-03T15:30:00Z,We Ain’t Surprised: New Study Says Black People in California Are Stopped by Police More Than Other Groups,https://www.theroot.com/we-ain-t-surprised-new-study-says-black-people-in-cali-1840795185,en,FALSE,NA,368082,theroot.com,http://theroot.com/,.js_post-content
1497071247,2020-01-16T19:24:07Z,Rep. Ayanna Pressley goes public with alopecia and baldness,https://www.sfgate.com/entertainment/article/Rep-Ayanna-Pressley-goes-public-with-alopecia-14981797.php,en,TRUE,NA,14,SF Chronicle,http://www.sfgate.com/,p
1497098143,2020-01-16T16:00:00Z,C’mon Kansas! Will the Sunflower State Be the Next to Ban Hair Discrimination?,https://theglowup.theroot.com/cmon-kansas-will-the-sunflower-state-be-the-next-to-ba-1841044082,en,FALSE,NA,368082,theroot.com,http://theroot.com/,.js_post-content
1497117948,2020-01-16T20:37:47Z,Rep. Ayanna Pressley reveals she has alopecia,https://www.mercurynews.com/2020/01/16/rep-ayanna-pressley-reveals-she-has-alopecia/,en,FALSE,NA,35,San Jose Mercury News,http://www.mercurynews.com/,p
1503091078,2020-01-23T14:50:29Z,Texas school district bars black student from graduating with dreadlocks,https://www.theguardian.com/us-news/2020/jan/23/deandre-arnold-texas-school-district-student-dreadlocks,en,FALSE,NA,1751,Guardian US,https://www.theguardian.com/us,p
1503100107,2020-01-23T14:50:29Z,Texas school district bars black student from graduating with dreadlocks,https://www.theguardian.com/us-news/2020/jan/23/deandre-arnold-texas-school-district-student-dreadlocks,en,FALSE,NA,623382,Guardian,http://www.theguardian.com/us,.dcr-s23rjr
1503896595,2020-01-24T11:30:32Z,These 2020 laws look to level playing field for California workers,https://www.dailynews.com/2020/01/24/these-2020-laws-look-to-level-playing-field-for-california-workers/,en,FALSE,NA,24901,Bleacher Report,http://bleacherreport.com,.body-copy
1510259582,2020-01-30T14:37:43Z,"Matthew A. Cherry on the story behind ""Hair Love""",http://feeds.cbsnews.com/~r/CBSNewsMain/~3/eAhbemPSkO4/,en,FALSE,NA,1752,CBS News,http://www.cbsnews.com/,.content__body
1514973616,2020-02-07T19:00:14Z,Texas lawmakers are drafting a hair discrimination bill,http://www.startribune.com/texas-lawmakers-are-drafting-a-hair-discrimination-bill/567674382/,en,FALSE,NA,19,Star Tribune,http://www.startribune.com/,p
1510712457,2020-01-31T10:06:24Z,&#8216;Hair Love&#8217; director wants to win Oscar in honor of Kobe,https://www.seattletimes.com/entertainment/hair-love-director-wants-to-win-oscar-in-honor-of-kobe/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all,en,TRUE,NA,24940,Seattle Times,http://seattletimes.com,p
1516090824,2020-02-09T03:55:44Z,"The nation in brief
",http://www.arkansasonline.com/news/2020/feb/09/mississippi-fire-fatal-to-mother-6-kids/,en,FALSE,NA,56,Arkansas Democrat-Gazette,http://www2.arkansasonline.com/,p
1517111178,2020-02-10T09:30:00Z,Oscars 2020: Matthew A. Cherry Manifests #HairLove Success and Janelle Monáe Welcomes Us to the Neighborhood,https://thegrapevine.theroot.com/oscars-2020-matthew-a-cherry-manifests-hairlove-succ-1841560932,en,FALSE,NA,368082,theroot.com,http://theroot.com/,.js_post-content
1517112350,2020-02-10T09:36:31Z,"Former Bengals WR wins Oscar for 'Hair Love,' about a dad doing his daughter's hair",http://rssfeeds.cincinnati.com/~/618005974/0/cincinnati-sports~Former-Bengals-WR-wins-Oscar-for-Hair-Love-about-a-dad-doing-his-daughters-hair/,en,FALSE,NA,26590,cincinnati.com,http://cincinnati.com,.gnt_ar_b
1517154594,2020-02-10T10:40:32Z,"Matthew Cherry, Former NFL Player, Wins Oscar for Best Animated Short Film, Dedicates Award to Kobe Bryant",https://www.newsweek.com/matthew-cherry-former-nfl-player-wins-oscar-best-animated-short-film-dedicates-award-kobe-1486520?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,en,FALSE,NA,56510,Newsweek,http://newsweek.com/,p
1519299031,2020-02-12T12:48:48Z,Curl Specialist and Salon Owner Christin Brown On The Curly Hair Revolution,https://www.forbes.com/sites/mollysprayregen/2020/02/12/curl-specialist-and-salon-owner-christin-brown-on-the-curly-hair-revolution/,en,FALSE,NA,1104,Forbes,http://www.forbes.com/,.article-topline
1520107578,2020-02-13T08:00:26Z,'Hair Love' won an Oscar. It's smart. It's funny. And that makes me furious,http://rssfeeds.azcentral.com/~/618265850/0/phoenix/opinions~Hair-Love-won-an-Oscar-Its-smart-Its-funny-And-that-makes-me-furious/,en,FALSE,NA,25128,AZCentral,http://www.azcentral.com,p
1523056860,2020-02-16T14:30:00Z,Hair Love Across the Nation: 3 States Passed Laws Ending Black Hair Discrimination Within a Week,https://www.theroot.com/hair-love-across-the-nation-3-states-passed-laws-endin-1841731428,en,FALSE,NA,368082,theroot.com,http://theroot.com/,.js_post-content
1524578323,2020-02-18T06:20:07Z,"The Flash Finally Let Iris West Be Black, and Now the Show Is the Best It's Ever Been",https://www.dispatch.com/ZZ/entertainment/20200218/flash-finally-let-iris-west-be-black-and-now-show-is-best-its-ever-been?rssfeed=true,en,FALSE,NA,41,Columbus Dispatch,http://www.dispatch.com/,.gnt_ar_b
1533062738,2020-02-27T14:10:00Z,There are zero black women leading Fortune 500 companies right now. Here's how company culture can be sculpted to change that.,https://www.businessinsider.com/diversity-and-inclusion-change-company-culture-for-black-women-2020-2,en,FALSE,NA,18710,Business Insider,http://www.businessinsider.com,p
1538148647,2020-02-24T08:16:50Z,POLL: FOXX-CONWAY RACE UP IN THE AIR — JOLT FOR SCHANBACHER — SURPRISE FOR DURBIN,https://www.politico.com/newsletters/illinois-playbook/2020/02/24/poll-foxx-conway-race-up-in-the-air-jolt-for-schanbacher-surprise-for-durbin-488398,en,FALSE,NA,18268,Politico,https://www.politico.com/,.article__content
1539934264,2020-03-05T18:00:00Z,Virginia Becomes the Latest State to Ban Hair Discrimination: 'It Is Not What We Stand For',https://theglowup.theroot.com/virginia-becomes-the-latest-state-to-ban-hair-discrimin-1842132237,en,FALSE,NA,368082,theroot.com,http://theroot.com/,.js_post-content
1541533575,2020-03-07T12:29:44Z,"Protective Hairstyles Like 'Braids, Locks, and Twists' Protected Under New Virginia Bill",https://www.newsweek.com/virginia-bill-protected-hair-1491070?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,en,FALSE,NA,56510,Newsweek,http://newsweek.com/,p
1541544203,2020-03-07T12:29:44Z,"Protective Hairstyles Like 'Braids, Locks, and Twists' Protected Under New Virginia Bill",https://www.newsweek.com/virginia-bill-protected-hair-1491070?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,en,FALSE,NA,1098,Newsweek,http://www.newsweek.com/,p
1548306023,2020-03-14T14:23:35Z,"On stage and screen, artists back a cause: black hair matters",https://www.theguardian.com/uk-news/2020/mar/14/black-hair-matters-artists-back-cause,en,FALSE,NA,1751,Guardian US,https://www.theguardian.com/us,p
1562075667,2020-03-29T04:25:21Z,The politics of black hair: The battle still rages on,http://www.arkansasonline.com/news/2020/mar/29/the-politics-of-black-hair-the-battle-s/,en,FALSE,NA,56,Arkansas Democrat-Gazette,http://www2.arkansasonline.com/,p
